timestamp,weight
04_05_2022_20_29_07,565.05,
04_05_2022_20_29_08,565.05,
04_05_2022_20_29_09,565.10,
04_05_2022_20_29_10,565.05,
04_05_2022_20_29_12,565.08,
04_05_2022_20_29_13,565.08,
04_05_2022_20_29_14,565.05,
04_05_2022_20_29_16,565.07,
04_05_2022_20_29_17,565.08,
04_05_2022_20_29_18,565.08,
04_05_2022_20_29_19,565.09,
04_05_2022_20_29_21,565.08,
04_05_2022_20_29_22,565.09,
04_05_2022_20_29_23,565.07,
04_05_2022_20_29_25,565.07,
04_05_2022_20_29_26,565.11,
04_05_2022_20_29_27,565.08,
04_05_2022_20_29_28,565.06,
04_05_2022_20_29_30,565.08,
04_05_2022_20_29_31,565.09,
04_05_2022_20_29_32,565.07,
04_05_2022_20_29_33,565.08,
04_05_2022_20_29_35,565.07,
04_05_2022_20_29_36,565.07,
04_05_2022_20_29_37,565.08,
04_05_2022_20_29_39,565.08,
04_05_2022_20_29_40,565.05,
04_05_2022_20_29_41,565.06,
04_05_2022_20_29_43,565.08,
04_05_2022_20_29_44,565.07,
04_05_2022_20_29_45,565.05,
04_05_2022_20_29_46,565.06,
04_05_2022_20_29_48,565.07,
04_05_2022_20_29_49,565.07,
04_05_2022_20_29_50,565.04,
04_05_2022_20_29_52,565.10,
04_05_2022_20_29_53,565.03,
04_05_2022_20_29_54,564.99,
04_05_2022_20_29_56,565.02,
04_05_2022_20_29_57,565.03,
04_05_2022_20_29_58,565.00,
04_05_2022_20_29_59,565.04,
04_05_2022_20_30_01,565.07,
04_05_2022_20_30_02,565.12,
04_05_2022_20_30_03,565.07,
04_05_2022_20_30_05,565.06,
04_05_2022_20_30_06,565.07,
04_05_2022_20_30_07,565.06,
04_05_2022_20_30_08,565.07,
04_05_2022_20_30_10,565.05,
04_05_2022_20_30_11,565.07,
04_05_2022_20_30_12,565.06,
04_05_2022_20_30_14,565.06,
04_05_2022_20_30_15,565.06,
04_05_2022_20_30_16,565.08,
04_05_2022_20_30_18,565.09,
04_05_2022_20_30_19,565.08,
04_05_2022_20_30_20,565.05,
04_05_2022_20_30_21,565.07,
04_05_2022_20_30_23,565.09,
04_05_2022_20_30_24,565.06,
04_05_2022_20_30_25,565.03,
04_05_2022_20_30_27,565.07,
04_05_2022_20_30_28,565.05,
04_05_2022_20_30_29,565.07,
